time,Ep_eff,Phi,eeq,gstain_1,gstain_10,gstain_11,gstain_12,gstain_13,gstain_14,gstain_15,gstain_16,gstain_17,gstain_18,gstain_19,gstain_2,gstain_20,gstain_21,gstain_22,gstain_23,gstain_24,gstain_3,gstain_4,gstain_5,gstain_6,gstain_7,gstain_8,gstain_9,phi_1,phi_2,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
4.5012937366862e-05,0.00011367692868468,1.3964887406583,0.00084122947962642,1e-18,1e-18,-0.78706721444926,0.78706722828944,1.6593636029552,-0.048851030784117,-0.048851030784115,1.6593636326366,-0.048851031639339,-0.048851031639338,-0.048851032498082,-0.78706721446724,-0.048851029925453,1.6593636177973,-0.048851029925455,-0.048851032498081,1.6593636177973,0.78706721446723,1e-18,0.78706722827015,-0.78706722827015,1e-18,-0.78706722828944,0.78706721444925,88.127799493565,9.9696731894328,399.34754443063,412.47669323642,0.00089985375735204,-0.00035389416917533,-0.00035389416917521,95.519808863563,3.3724114295424e-07,3.3724099059882e-07,95.519808526322
4.6385287472462e-05,0.00013015041830153,1.4062114477001,0.00086778023556579,1e-18,1e-18,-0.84538701771343,0.84538704034995,1.7848885302007,-0.052455948169632,-0.052455948169638,1.7848885788328,-0.052455949561852,-0.052455949561851,-0.052455950959917,-0.84538701774269,-0.052455946771775,1.7848885545204,-0.052455946771771,-0.052455950959919,1.7848885545203,0.84538701774273,1e-18,0.84538704031738,-0.84538704031738,1e-18,-0.84538704034995,0.84538701771346,86.938219204434,9.1169584443523,399.25316402775,414.30123846938,0.0009272756962998,-0.00036628112440555,-0.00036628112440542,96.857410901949,4.5735093841003e-07,4.5735128073798e-07,96.857410444598
4.7782520778062e-05,0.00014811552650083,1.4149937336182,0.00089489697271044,1e-18,1e-18,-0.90148850265535,0.90148853442271,1.9058476219213,-0.055908252600501,-0.055908252600506,1.9058476902797,-0.055908254545866,-0.055908254545867,-0.05590825649941,-0.90148850269856,-0.055908250647051,1.9058476561021,-0.055908250647047,-0.055908256499413,1.9058476561021,0.90148850269859,1e-18,0.90148853437803,-0.90148853437804,1e-18,-0.90148853442271,0.90148850265538,84.981559956844,9.8562594562818,399.15030118903,416.29548062765,0.00095519407229031,-0.00037903688787712,-0.00037903688787699,98.073680871914,6.1485801099764e-07,6.1485835283685e-07,98.073680257056
4.9027987201832e-05,0.00016508708916582,1.4219386319877,0.00091913669458473,1e-18,1e-18,-0.9482775649038,0.94827760496714,2.0068764945255,-0.058776384953996,-0.058776384953997,2.0068765808451,-0.058776387398887,-0.058776387398888,-0.058776389854167,-0.94827756495887,-0.058776382498829,2.0068765376873,-0.058776382498827,-0.058776389854168,2.0068765376873,0.94827756495887,1e-18,0.94827760491025,-0.94827760491026,1e-18,-0.94827760496714,0.94827756490381,82.066809897715,10.566773690555,399.05318726018,418.18376319458,0.00098007930924263,-0.00039052277111844,-0.0003905227711183,99.04089020887,8.463067891951e-07,8.4630694093602e-07,99.040889362563
5.0357320499372e-05,0.00018412583343436,1.4285091812439,0.0009450752602076,1e-18,1e-18,-0.99461189811399,0.99461194723458,2.1070498952946,-0.06160706549732,-0.061607065497315,2.1070500012557,-0.061607068484988,-0.061607068484987,-0.061607071485412,-0.99461189818328,-0.061607062496892,2.1070499482751,-0.061607062496896,-0.061607071485409,2.1070499482751,0.99461189818325,1e-18,0.99461194716531,-0.99461194716531,1e-18,-0.99461194723459,0.99461189811396,79.225731475701,10.576742610119,398.94431309428,420.30704788036,0.0010066395781896,-0.00040289366040454,-0.00040289366040438,99.960362062762,1.1442328470696e-06,1.1442325047642e-06,99.960360918529
5.1556887295406e-05,0.00020206675822561,1.4337543422869,0.00096853747824794,1e-18,1e-18,-1.0331081266799,1.0331107333969,2.1903693965438,-0.063951886962841,-0.063951886962841,2.1903750250571,-0.063952045092207,-0.063952045092207,-0.063952203895158,-1.0331081303684,-0.063951728160633,2.1903722108001,-0.063951728160633,-0.063952203895158,2.1903722108001,1.0331081303684,1e-18,1.0331107297072,-1.0331107297072,1e-18,-1.0331107333969,1.0331081266799,91.393212893284,-1.0490001688138,398.84178268651,422.31277254094,0.0010306064884244,-0.00041414948175394,-0.00041414948175377,100.69763092864,4.2820155838855e-05,4.2820155839146e-05,100.69758810852
5.2808302812595e-05,0.00022148756929825,1.4385952080536,0.00099306508409722,1e-18,1e-18,-1.0698560234924,1.0698560754018,2.2699798811548,-0.066184454821059,-0.066184454821064,2.2699799933433,-0.066184457962155,-0.066184457962159,-0.066184461116585,-1.0698560235676,-0.066184451666384,2.2699799372446,-0.06618445166638,-0.066184461116589,2.2699799372446,1.0698560235676,1e-18,1.0698560753306,-1.0698560753307,1e-18,-1.0698560754017,1.0698560234924,40.275953209901,22.01887446811,398.73086603527,424.48927635726,0.0010556087051582,-0.00042597607479026,-0.00042597607479007,101.38024137131,-1.7706110238749e-07,-1.7706068482025e-07,101.38024154838
5.3915158131472e-05,0.00023921533954074,1.4423882897533,0.001014799975524,1e-18,1e-18,-1.0994943836962,1.0994944181831,2.3342401244908,-0.067981092380105,-0.067981092380097,2.3342401990726,-0.067981094462652,-0.067981094462655,-0.067981096464761,-1.0994943852272,-0.067981090198602,2.3342401585697,-0.067981090198607,-0.06798109646476,2.3342401585698,1.0994943852271,1e-18,1.099494419614,-1.099494419614,1e-18,-1.0994944181831,1.0994943836962,38.621333201367,-18.50124468676,398.62968298466,426.48090998753,0.0010777222112374,-0.00043650266852193,-0.00043650266852176,101.91678150195,1.4730078492616e-07,1.4730048204773e-07,101.91678135464
5.5078109933004e-05,0.00025834675076803,1.4459281569967,0.0010376741530227,1e-18,1e-18,-1.1278411874367,1.1278412336172,2.3957422824806,-0.069696165301269,-0.069696165301259,2.3957423824158,-0.069696168084862,-0.06969616808486,-0.069696170804792,-1.1278411887616,-0.069696162429261,2.3957423297186,-0.069696162429269,-0.069696170804787,2.3957423297186,1.1278411887615,1e-18,1.1278412348078,-1.1278412348078,1e-18,-1.1278412336172,1.1278411874366,52.882601801731,-19.922214259893,398.52055654947,428.63544172999,0.0011009559240859,-0.00044762356714743,-0.00044762356714726,102.41878925166,2.0232939156499e-07,2.0232878402187e-07,102.41878904933
5.6303890763274e-05,0.0002790194114488,1.4492140062161,0.0010618224314467,1e-18,1e-18,-1.1547620214259,1.1547620794644,2.4541879916162,-0.071322052601473,-0.071322052601472,2.4541881172874,-0.071322056093831,-0.071322056093836,-0.071322059538979,-1.1547620225505,-0.071322049030805,2.4541880521935,-0.071322049030805,-0.071322059538982,2.4541880521936,1.1547620225505,1e-18,1.1547620804196,-1.1547620804196,1e-18,-1.1547620794644,1.1547620214259,61.589060743302,-15.856248623747,398.40271760074,430.96962918789,0.001125444265088,-0.00045940634095051,-0.00045940634095032,102.88588443804,2.7882709983648e-07,2.7882725230752e-07,102.88588415921
5.7600625731296e-05,0.00030139698363014,1.4522464315909,0.0010874073256458,1e-18,1e-18,-1.180134521064,1.1801345915024,2.509304938663,-0.072851872715634,-0.07285187271563,2.509305091268,-0.072851876947394,-0.072851876947401,-0.072851881147926,-1.180134521999,-0.072851868414856,2.5093050131581,-0.072851868414856,-0.07285188114793,2.5093050131582,1.180134521999,1e-18,1.180134592231,-1.180134592231,1e-18,-1.1801345915024,1.180134521064,66.541296687294,-11.442392123794,398.2752519507,433.50345432518,0.0011513494572657,-0.00047193224814545,-0.00047193224814526,103.31790377277,3.5589667406151e-07,3.5589686316597e-07,103.31790341687
